id,created_at,text,no_of_retweets,no_of_favorite
905841475191222272,2017-09-07 17:13:32,That was one serious catch from Powell!!! #ENGvsWI,254,4348
905512071298732041,2017-09-06 19:24:36,@KAndersonATP @usopen U go u good thing!! Right behind u,5,47
905511988767461381,2017-09-06 19:24:16,@alechogg @BobSkinstad Can't wait to get going gents! Thanks,17,397
905328170508963840,2017-09-06 07:13:50,Amazing👏🏆 https://t.co/QrT8sQ3aN1,82,1431
905308314480898048,2017-09-06 05:54:56,KEVIN ANDERSON!!!!!!!!! @usopen semis here we come. Congrats!!! Hard work pays off @KAndersonATP,371,3285
905307397102727168,2017-09-06 05:51:17,Nervous for @KAndersonATP,75,1716
904991876683624448,2017-09-05 08:57:31,"Click the link and download the AB de Villiers app to enjoy all new, exciting content. Coming soon!… https://t.co/heOnu0NZjL",184,2195
904969745014935552,2017-09-05 07:29:35,All the best guys!!! Let's get behind them https://t.co/TomgtWCCDK,101,1518
904774834357497861,2017-09-04 18:35:05,Proper player!!! https://t.co/CVLUrtdJU0,86,1629
904578563554369536,2017-09-04 05:35:10,@KAndersonATP making us proud in the US! Great effort to get to the quarters.,18,64
903582790079451136,2017-09-01 11:38:19,My new app - a 1st in the world of cricket: AB de Villiers whole brain cricket. Available on Apple ios and android… https://t.co/wxPGRE97va,319,3581
903554891959996419,2017-09-01 09:47:28,"@PUMASouthAfrica Up &amp; Running in Sandton, go check it out! @PumaSouthAfrica #ForeverFaster https://t.co/dN5wquN2cW",15,63
903156109552312320,2017-08-31 07:22:51,"Everybody strives to achieve perfection, just like @MRFWorldwide's new creation #PerfinzaByMRF. Watch https://t.co/x6gCqspAF9",129,1629
903140591533424644,2017-08-31 06:21:11,@fudgie11 @HeinoKuhn Summer is here,5,49
903140487959334912,2017-08-31 06:20:46,RT @barneygirnun: A great South African! #ourernie https://t.co/DymWZfFSS5,18,0
902940017538076673,2017-08-30 17:04:10,Congrats Ottis on the appointment. Exciting season ahead! Looking forward to it all https://t.co/RMIg7MzAnA,165,2257
902905722014457857,2017-08-30 14:47:53,"A quick, but great trip 2 Chennai 2 visit the @MRFWorldwide family, good to be back &amp; the ever reliable @Airportparkingz is here with my car",245,4174
901812657652727808,2017-08-27 14:24:27,So happy with our squad! Very excited to kick things off with the @PMavericks_ !!,240,3823
900359114567680000,2017-08-23 14:08:35,Looking forward to a great summer #ProteaFire https://t.co/yojybIrvjZ,2461,14291
900341985021579264,2017-08-23 13:00:31,"Standby for an important announcement in an hour, at 4pm SA time today!

https://t.co/2q1LoMnNfJ https://t.co/Y0Wn51GL4Z",397,4390
898930353909510144,2017-08-19 15:31:12,Boks looking really good 1st 20min!! @Springboks,134,3133
896804065597956098,2017-08-13 18:42:05,"@kwagga2188 Couldn't agree more, @jacqueskallis75",13,205
896803996589072384,2017-08-13 18:41:49,RT @kwagga2188: #Rapport:Rupert se landgoed skuld taks:Fake news.Leopard C not Rupert's Estate.Share block co with many shareholders.Never…,45,0
896707041342832640,2017-08-13 12:16:33,Had the most amazing time at Sun City's @SunVacClub ! A very special place and the perfect spot… https://t.co/hoeOaaY20s,91,2113
894827323136118784,2017-08-08 07:47:13,Nice 2 see A-side Cricket on Supersport 2! Exciting names all round promising for an exciting final. Played at @tukscricket ground #SAAvIndA,152,2821
894661605191028736,2017-08-07 20:48:43,The boys can be proud of the fight they showed throughout the Series! #ProteaFire,167,4201
894661322931138560,2017-08-07 20:47:36,"England played well this series, credit 2 them. Proteas weren't far off the mark, missed a few chances to take the initiative &amp; paid for it",248,4728
894206864392695809,2017-08-06 14:41:44,Proteas fighting! Love it. Keep going lads #ProteaFire #SAvsENG Hoping for a target under 300,253,4855
893531722498879489,2017-08-04 17:58:58,Top show from all the bowlers today! Great partnerships. Good start in the Am &amp; a bit of grit with the bat will put us in a great position,227,4128
893460597865668616,2017-08-04 13:16:20,Good pressure here! What seemed to be a very flat wicket now looks like one for the bowlers. Great skill @keshavmaharaj16 &amp; @KagisoRabada25,110,2242
893448854263259136,2017-08-04 12:29:40,I called it in February - maybe 1 of the New Zealand cricketers still want to take me up on this offer? Go on Lions… https://t.co/7xgtByMPQg,91,1329
893438151867453440,2017-08-04 11:47:09,"A pleasant visit to thedentalspa1 , great team, great service and we are very happy with the… https://t.co/ZS8x2PI4KA",83,1534
893406625813450752,2017-08-04 09:41:52,Come on the #ProteaFire !!! Let's get behind @faf1307 and the boys.,206,2788
893390880421404674,2017-08-04 08:39:18,"A brother is a gift to the heart, a friend to the spirit, a golden thread to the meaning of… https://t.co/Rs6HkGX4xx",142,2155
892660255301218304,2017-08-02 08:16:04,TALENT coming through @tukscricket ! A privilege to share a few ideas with them after my net this AM… https://t.co/DdTOcnBCQv,139,2262
891978892210253825,2017-07-31 11:08:34,Well played @deanelgar 👏👏👏,262,4910
891699118778847235,2017-07-30 16:36:51,"We can still do it if we don't lose more than 4 today. Keep fighting boys, we've done this before! @tbavuma10 &amp; @deanelgar there at the end",350,5719
891343998337654785,2017-07-29 17:05:44,The @LionsRugbyCo put in a serious performance today! Well done gents!!! Let's go all the way #SuperRugby,148,2802
891006863625658368,2017-07-28 18:46:05,"Tough day for the boys at the Oval. Credit to England, but no doubt the guys will keep fighting. @tbavuma10 looking really good!",202,3554
890980928629223425,2017-07-28 17:03:01,"The Bulls will be back stronger next year! For now, I hope the Lions can go all the way and keep that Cup here. #BeAFan #SuperRugby",185,3484
890873064682074112,2017-07-28 09:54:24,Ready for Day 2! 2 early wickets and we're right in it. Big push Proteas! #ProteaFire,183,3406
890110427404828672,2017-07-26 07:23:58,"Top session with Kruger van Wyk at @tukscricket this morning, amazing memories at this place too @MRFworldwide… https://t.co/vR2yospnWS",139,2813
889830123574185984,2017-07-25 12:50:08,"Before the start of the 3rd Test between England and SA, I'd like to invite everyone to light a… https://t.co/pnWikIrJ4k",171,3842
889174642145054720,2017-07-23 17:25:29,"This is too good to be true! I don't really have a favourite, but this @JordanSpieth guy is on a different planet @TheOpen #theopen2017",166,3582
888958686743474176,2017-07-23 03:07:21,RT @jacknicklaus: Happy for and proud of Bear's Club member @BrandenGrace on the 1st 62 in major-championship history. Great round at Royal…,214,0
888071655108378624,2017-07-20 16:22:36,Now we are 4! Praise the Lord for this amazing blessing in our lives. John Richard de Villiers… https://t.co/35HgxCYg32,630,9461
887943817713811457,2017-07-20 07:54:37,"These fairways at @RoyalBirkdale_ must be pretty tight, because I don't see a lot of balls on the short stuff here @TheOpen",113,2634
887402293242540032,2017-07-18 20:02:48,The ladies did us proud!!! @ProteasWomen #AlwaysRising,324,4875
887217747184177152,2017-07-18 07:49:29,"This is it! 5 August at 5PM at Hillsong, Pretoria! Get your tickets now and prepare for one very… https://t.co/EtAZ9fGtTe",115,2394
886948694729388034,2017-07-17 14:00:22,Nothing better than a Test victory! Great effort from @faf1307 and the boys. Enjoy the celebrations guys #ProteaFire,597,7205
886925448080392194,2017-07-17 12:27:59,RT @OfficialCSA: End of a wonderful session for SA. Four wickets for 78 and England go to the break on 79/4. Morris 2/7. Target 474 #Protea…,105,0
886636327319547904,2017-07-16 17:19:07,We are playing beautiful Cricket here! Great scrap from the batters and now our inform bowling unit are licking their lips #ProteaFIRE,369,5697
886282127658102786,2017-07-15 17:51:40,What a day for SA Cricket! Well played lads. #ProteaFire,369,5588
886229576178962433,2017-07-15 14:22:50,Lovely to watch the bowling unit operating together! Constantly asking questions of the English batters. Keep pushing boys,362,5278
885934602228989952,2017-07-14 18:50:43,Fantastic comeback from these two! Match changing partnership. This is what this team is all about! Well done @Tipo_Morris and @VDP_24,239,3628
885896565902245888,2017-07-14 16:19:35,"Batted so well today, lost a couple too many the last hour, Morris &amp; Philander need to fight to get us to 300, a good total on this wicket",349,6567
885835016739196930,2017-07-14 12:15:00,Top effort from @amlahash ! 8000 of the finest runs!! Solid start here from the boys #ProteaFire #SAvsENG,329,4597
885803449396416512,2017-07-14 10:09:34,RT @DavidMillerSA12: Start of the 2nd Test match. Go well boys. Big few days. #ProteaFire #ENGvSA,141,0
