id,created_at,text,no_of_retweets,no_of_favorite
905896486755553280,2017-09-07 20:52:07,RT @joepietersen: #tbt - Drinks stop on the Chobe river with @martinmeyersafaris and guests. The Chobe Princess was out of this world. 🐘🚢☀️…,2,0
904981229988139009,2017-09-05 08:15:13,"RT @GraemeSmith49: Cmon, get on board @jacqueskallis75 @markb46 @ABdeVilliers17 @faf1307 @robbie13flair @KagisoRabada25 @DaleSteyn62 #letsm…",44,0
904820690246828032,2017-09-04 21:37:17,"Woke up for a pee and stood on that. 
May as well amputate my foot.
#foksore
#cantsleepnow 
#ilovemydogs https://t.co/6ne20VyRfj",29,502
904762726433599488,2017-09-04 17:46:58,Two quick ones before my battery died 🏄  #funmonday gopro @wohza @ Muizenburg Beach https://t.co/yTr34bxc6n,10,298
903911316183756800,2017-09-02 09:23:46,Good read. Good luck Jimmy at Lords. History beckons #500 https://t.co/aWgAYbyUy5,99,1534
903351910698233859,2017-08-31 20:20:53,"10-20pm
i want chocolate",33,1032
903273297126809602,2017-08-31 15:08:30,"Selfies in the sun 
#bali @ Uluwatu, Bali, Indonesia https://t.co/gQMV8emu3a",11,339
903186854727434241,2017-08-31 09:25:01,"Muizenberg mornings 🏄
#dawnie #surf #karma @ Muizenburg Beach https://t.co/FTA1tgCpsV",12,262
902973240993337344,2017-08-30 19:16:11,RT @SurfEmporium: Join @DaleSteyn62 @nikrabinowitz @mornemorkel65 @faf1307 &amp; @Cameronvdburgh for this year's MCSA Celebrity Surf Day! 🏄🏼 #c…,10,0
902592587751665665,2017-08-29 18:03:36,"Well done Jason! 
#caribbeanflair",86,1354
902563209638531072,2017-08-29 16:06:52,"RT @tinusleroux: Great pictures!
The Maasai Cricket Warriors.
@DaleSteyn62 @Gary_Kirsten @MikeHaysman https://t.co/Pqfofgks5A https://t.co/…",70,0
902476611374764034,2017-08-29 10:22:46,Disgusting. https://t.co/I1CW6ZXfPe,19,187
902169135546761216,2017-08-28 14:00:58,"New week new team 🏏
Wonderful to be back playing again. Really look forward to being apart of the @CTKnightRiders with friend/coach Kallis",88,1067
901202179318583297,2017-08-25 21:58:37,Congrats bud! Fantastic news https://t.co/ZohdpHu4WH,21,770
900702456761417728,2017-08-24 12:52:54,RT @Fitness_Faculty: The @DaleSteyn62 12 week training program launching September 2017! Follow the training regime of this athlete and tra…,20,0
900701857185746944,2017-08-24 12:50:31,How!?!?! https://t.co/3nosuetkPn,14,240
900250974102663168,2017-08-23 06:58:52,No such thing as smart casual.,60,984
899987951823749121,2017-08-22 13:33:43,"RT @DadToBeAdvice: Missing Child Alert: If anyone have seen Anchen Muller, please contact 072 647 7464 @Abramjee @RyanOConnorZA @ThuliMadon…",240,0
899963562663309312,2017-08-22 11:56:48,"Had so much fun riding this board, go check it out at my mates store in muizenberg #wawasurfboards #hotcurl 🏄
https://t.co/6rKuiddUC0",18,298
899629711483174916,2017-08-21 13:50:12,Correction. Join us on the 9th September 🏄👊🏼 https://t.co/dBmFUNOhOH,21,249
899622990106828801,2017-08-21 13:23:29,If you lost your child this is who helps you find them. Come help us support them on September 4th down at muizenbe… https://t.co/zUMCTgsZX6,34,324
899608265004371968,2017-08-21 12:24:58,9months of progression. Good to be back 💪🏼 https://t.co/ErT5aTFduD,104,1150
898115754599608321,2017-08-17 09:34:16,The wait is over. 👊🏼 https://t.co/LfDAgm2lpI,237,1588
897477106480951296,2017-08-15 15:16:31,"7-30pm tonight! 
Checkout this years @The_XOver on supersport 8
Def worth a watch 👊🏼
@OakleySA @SethHulley",13,277
896757555267084290,2017-08-13 15:37:16,Sunday stroll @ Kommetjie https://t.co/aiRqU9dhjX,8,322
896358454427869184,2017-08-12 13:11:23,Looking for a new pet? Pop in tomorrow and help give a pooch a new home. 🐕👌🏼 https://t.co/1GglKcQo9j,27,340
896009012126375936,2017-08-11 14:02:50,"All I've done for 8 months is work to get better. My time back will be soon, pace is not a concern. If you wana kno… https://t.co/P0f4sahT0I",229,1586
896001183369789440,2017-08-11 13:31:43,Love it! https://t.co/lfawokmEVG,6,169
895760192251596801,2017-08-10 21:34:06,"#worldlionday 
Follow marlondutoit for more of these beautiful images. Today we have only 20k… https://t.co/j1TlQhiW80",10,156
895756539906097152,2017-08-10 21:19:36,"Just watched this. 
Real eye opener, hits home, especially coming from a area where this is renowned for happening.… https://t.co/hhWz76XRTS",17,143
895599088732917761,2017-08-10 10:53:56,RT @LionsHeadCPT: I'd be lying if I said I wasn't celebrating #WorldLionDay. 🦁,13,0
895571212474109953,2017-08-10 09:03:10,Quik vid of our recent Chobe trip. So much fun and we caught plenty fish. Checkout the easy… https://t.co/aH4q7yZjvM,12,239
895569711257325569,2017-08-10 08:57:12,Quik vid of our recent Chobe trip. So much fun and plenty fish. Checkout the easy quik app to… https://t.co/c5qmr2RGGU,8,230
894587972829532161,2017-08-07 15:56:08,"I'll say this, those are two very good slip catches! Yoh",51,1223
894298626897399809,2017-08-06 20:46:22,I'm exhausted. Sleep well crazy world 🌍,40,1254
894137197858885632,2017-08-06 10:04:54,RT @JohnoMeintjes: Download the @Fitness_Faculty app to get your hands on the @Jeannieous 12 week training program or go to https://t.co/hV…,12,0
894137087674462208,2017-08-06 10:04:28,"Come on @mornemorkel65 
50 for you today bud!!!!!",39,1060
893156991652311041,2017-08-03 17:09:55,"Quick vid of this years @The_XOver 👊🏼
#cantstop 
https://t.co/FnEgYKQVbO",10,205
890908069089116161,2017-07-28 12:13:30,Not doing too shabby myself ey nana... 😉 https://t.co/gs88YgupJ8,56,521
890642887884513280,2017-07-27 18:39:46,"RT @GoPro: Introducing #QuikStories, a new software solution to transfer #HERO5 footage to your phone + edit it into a video with effects,…",120,0
890292553865678848,2017-07-26 19:27:40,Winner winner https://t.co/9guWuNgwyA,9,193
889891673488187392,2017-07-25 16:54:43,"Cape Town! 
If you like free shit, follow me on my Instagram, watch the stories.
Lunch time tomorrow! 👊🏼
@NBCricket @GoPro @WOHZA",23,470
889816781833080832,2017-07-25 11:57:07,"Come on, let's leave it like this! #readytogo https://t.co/9k9Bm8wEBv",95,776
889112368252375040,2017-07-23 13:18:02,"Walk the plank 
#xover #longboarding @ Jeffrey's Bay https://t.co/7GBpp4mSzH",15,253
889085991000178688,2017-07-23 11:33:13,"Minaar is the #goat and we all had a great time! 
Xover was insane, can't wait for next year again
Thanx… https://t.co/8rfbb8EGuI",20,230
888038546459807746,2017-07-20 14:11:03,RT @kevinevansracin: With @DaleSteyn62 my favorite spinner... https://t.co/cEx53eTdGX,19,0
888038389102116864,2017-07-20 14:10:25,RT @The_XOver: The #Xover is here. https://t.co/fCF3geGypJ,15,0
887628314642395138,2017-07-19 11:00:56,@PoppingCreaseSA @EugeneAtt @Sport24news @RobHouwing @VDP_24 Seem to know a lot about me without even asking... You'll see me soon enough,5,16
887220059839614977,2017-07-18 07:58:40,"Adrian, the electrician who helped me Friday night. Please send me your details bud, I wana pay you.
Anyone knows him, pls let him know ✌🏼",67,1073
886948825100943360,2017-07-17 14:00:53,#ProteaFire,171,1670
886913270052999169,2017-07-17 11:39:36,"RT @The_XOver: We going LIVE on OAKLEY SA Facebook during the #xover Event. 
20th July | MTB from 1pm
21st July | SURF from 8am | GOLF from…",22,0
886199572523036672,2017-07-15 12:23:37,Watching Polly and Athers do their thing in the nets. Hope anyone young cricketer wanting to play at a higher level takes notes. Brilliant,57,973
885457095373488128,2017-07-13 11:13:17,"Anyone know someone working for @DeusBali ? 
Bought a board, 1 month and it's in terrible condition. They been pretty useless at helping 🏄",20,571
882865829502648320,2017-07-06 07:36:31,Never stop the fight bro! All good https://t.co/Ln3m4qjjBb,59,762
882860297324777472,2017-07-06 07:14:32,"Test cricket.
At Lords!
It really doesn't get better than that
Good luck men, behind you all the way, im crazy jealous too
#proteafire 🏏🇿🇦",271,2950
882815400886632451,2017-07-06 04:16:08,I'm coming to visit next time I'm in the area! https://t.co/cvuyXnIcBR,15,361
882611300483858432,2017-07-05 14:45:06,"@jackvangelder Hi Jack. How wonderful that social media can connect people?! Injury is coming on nicely, not long n… https://t.co/Qkww4PrBHE",5,21
882586700500873216,2017-07-05 13:07:21,"Where did all the good commentators go??? 
This dude is a legend! Pretty decent soccer player in there too 👌🏼 https://t.co/PsbrMTdSD7",90,675
882584911164715008,2017-07-05 13:00:15,"RT @KP24: 31 rhinos KILLED this last weekend! 
Just let that sink in...! Just less than ONE an hour...
THIS IS A WAR! 
😡😡😡😡😡😡🦏🦏🦏🦏🦏 https://…",1622,0
882213552387497984,2017-07-04 12:24:36,"So excited for our trip to the Chobe. Think I've packed, unpacked and repacked 10 times already 🎣",35,1196
882212223619346432,2017-07-04 12:19:19,👊🏼 https://t.co/ld6nqLucfN,20,502
881855730290237441,2017-07-03 12:42:44,Coming in HOT!!! https://t.co/NSxdQMYJTI,29,529
879722397590487042,2017-06-27 15:25:38,"Thank you to everyone for the bday messages 

34.

Has a nice ring to it

Have a great eve, or day, wherever you all are 👊🏼
#springchicken",282,5896
879636690356379649,2017-06-27 09:45:04,Viru! You legend! Thanx a mill bud https://t.co/NpnEedtULQ,1011,11344
879444382289715201,2017-06-26 21:00:54,RT @KumarSanga2: Eid Mubarak to everyone around the globe.,1379,0
878554696213987329,2017-06-24 10:05:36,"Sorry bud I have plans, but anyone keen for a game please contact Tom. 👊🏼🏏 https://t.co/fmlmDmPqSy",27,606
878334192811212800,2017-06-23 19:29:24,Faaak yeah!!!!!!,148,1610
878330138504577025,2017-06-23 19:13:18,"@nealcol @mornemorkel65 @Tipo_Morris @OfficialCSA Answer is, with them there on the field, bowling or just advising… https://t.co/jWLA22wG3t",4,37
878326847439753216,2017-06-23 19:00:13,"He's got between the fielder and the stumps. Deliberate or not, it's out.",61,932
878322502686056448,2017-06-23 18:42:57,"@nealcol Its been a horrible innings of slogging and quite some luck with the odd good shot in there. Win or lose,… https://t.co/SutT9CJj9I",6,75
878310830776954881,2017-06-23 17:56:34,Best thing I've seen in a while 🦍 https://t.co/fSo1cojxy1,51,334
878308837068906496,2017-06-23 17:48:39,Come on Morne!!!!,54,887
878266730811760642,2017-06-23 15:01:20,Bought a new cushion 🐶🐕 https://t.co/LyM0RvgdU7,14,377
878258399112253443,2017-06-23 14:28:14,#ProteaFire,68,751
877901635707695109,2017-06-22 14:50:35,RT @markb46: Disgusting!!😡😡😡A very weak message being sent out! @environmentza https://t.co/dtmWjcIR9P,27,0
877884096864591873,2017-06-22 13:40:53,"Dj, remember this? Haha 
#tbt #yorker https://t.co/UMg1ZTPWcc",21,388
877848702060290049,2017-06-22 11:20:14,"Raining, training done, so I paint for a hobby 🎣
#tigerfishingtime https://t.co/AApP7REMN3",36,1003
877615528847605760,2017-06-21 19:53:42,Faaak.,104,1282
877521612777672704,2017-06-21 13:40:30,Well played HNCcricket. Great effort in a tight game against MCC. Heard it was a close game going for the win. @Lombies22 must be proud 👊🏼🏏,15,546
877221582422331392,2017-06-20 17:48:17,Monday on a Tuesday,21,1006
876468054624010240,2017-06-18 15:54:02,"I was hoping a team in green and gold would win. Seems there was a mix up in countries though 😉
Well done Pakistan, congrats Mickey",5410,23288
876030679447949312,2017-06-17 10:56:04,✅ https://t.co/aYkEp1uhJv,2760,10342
875795312488706048,2017-06-16 19:20:48,"Does anyone remember the movie Ghost and the Darkness? 
I'd love to see a 2017 remake of it, the man eating lions of tsavo 🦁",91,2096
875282815222513669,2017-06-15 09:24:19,"I love fishing. After a week of hard toil we finally landed this beast, hence the celebrations.… https://t.co/ahpBPnDoz9",22,607
875043569207320576,2017-06-14 17:33:39,"RT @GoPro: Introducing GoPro Fusion, our next frontier in enabling storytelling through film. To learn more, click here: https://t.co/TAxwc…",125,0
875027123064459266,2017-06-14 16:28:18,"Well done Pakistan 
Rankings mean nothing in the knockout format. Gana be a great final with the way these champs are playing",7071,25141
874755887314980865,2017-06-13 22:30:30,RT @Fighting4Rhinos: Suspects tracked using drone-  4 men face charges of illegal hunting https://t.co/JDybK6h0xG,22,0
874679740006887426,2017-06-13 17:27:55,My favorite! https://t.co/8mTwy0I4F8,328,2815
874344275357650945,2017-06-12 19:14:54,RT @NGEvansOXford: @savetherhino school project Oliver chose to create awareness about rhino poaching! @DaleSteyn62 @markb46 @KP24 https://…,6,0
874344017252823041,2017-06-12 19:13:52,One of the lucky ones 😉 https://t.co/qfKtNy8zhd,9,276
873531912215810048,2017-06-10 13:26:51,@markb46 @stancesocks_sa All over it! #warmwintertoes,4,54
873531522367856641,2017-06-10 13:25:19,Happy bday Funky!!! https://t.co/1flfxygys6,59,832
872821853252968448,2017-06-08 14:25:20,"All the wrong choices
#tbt #2002 #bestmates https://t.co/XH2t1lf00c",11,271
872519071270567937,2017-06-07 18:22:11,Morne!!!!!!!!!!!!!,327,3550
872506260951846912,2017-06-07 17:31:17,RT @paulharris12: And that ladies and gentlemen is why @mornemorkel65 has to play every game for the Proteas!!!!,70,0
872392345332973568,2017-06-07 09:58:38,"People joking about this CT storm like it's nothing.
Here's a tip. 
Don't f#ck with nature, she always wins. 🌍",235,1730
872198262861778949,2017-06-06 21:07:25,RT @NBCricket: This is @DaleSteyn62's note to his future self. Have a look at how the team strives to be better for us: https://t.co/Ic9iBL…,25,0
872066467109490688,2017-06-06 12:23:42,Not long now 🏏 https://t.co/LrvF1ycGU9,48,638
871782205286166529,2017-06-05 17:34:09,Mountain goats https://t.co/6rv2uHHbAU,14,309
871434308736749573,2017-06-04 18:31:44,🐐 https://t.co/PQMRYcMYtw,16,311
871075179006447616,2017-06-03 18:44:41,"Hate to complain but can happily say I won't be using Uber eats again. 
Tried 5 times, Uber fail. 

👎🏼",60,878
871054719602618368,2017-06-03 17:23:23,"Well played men! 
#Proteafire",147,1600
871010757579767808,2017-06-03 14:28:41,"@ajarrodkimber May I just add that conditions change, so what I said earlier may not apply later in the game. Adapt… https://t.co/lnFRIys6jy",1,14
871009292048007169,2017-06-03 14:22:52,"@ajarrodkimber Not always. Yorker is always great delivery when executed well. But today, on this pitch, on this bi… https://t.co/5CgpOd5GKd",1,15
870999172291457024,2017-06-03 13:42:39,"@ajarrodkimber 140 characters isn't enough for me to explain. But hopefully this short quote does.
If it ain't broke, don't fix it.",3,33
870987341929885696,2017-06-03 12:55:39,Hard/good length seems tough to get away. Let's hope SL fall into death bowling trap and miss that Yorker... #Proteafire,50,645
870005105155854336,2017-05-31 19:52:35,*break,7,241
869963467805077504,2017-05-31 17:07:08,Make. https://t.co/WYq8VPTr5u,35,1021
869940123353395200,2017-05-31 15:34:22,"It's been a horrible day and somehow I've been talked into doing YOGA.
The next hour could make or brake me",40,888
869558439911059456,2017-05-30 14:17:42,"Nice work @KagisoRabada25 on your number 1 odi ranking! 
You my friend are destined for even greater things! 👊🏼",452,3880
869246668725784576,2017-05-29 17:38:50,"Also a huge congrats to my good friend and team mate @ABdeVilliers17 
100 games as skipper, that's a fantastic achievement bud, Well done 👊🏼",323,3618
869239584768524289,2017-05-29 17:10:41,"Well done Proteas
And great to see a strong bowling line up deliver 👊🏼
Congrats @KagisoRabada25 on M.O.M",110,1554
868876506658951168,2017-05-28 17:07:56,"Friends over, had great food, surfed today.
Actually, I'm pretty lucky 😉",39,787
868876108044918784,2017-05-28 17:06:21,"Crashed my drone, proteas lost, in a car accident today.
Can't say it was my best weekend 🙈",55,1149
868524638258769920,2017-05-27 17:49:44,WIDE!,48,1030
868513344751357953,2017-05-27 17:04:52,"Perfect situation for these two! 
@DavidMillerSA12 @fudgie11",35,573
868004804844548096,2017-05-26 07:24:06,RT @NBCricket: We are excited to announce that Lions and 2016 SA U19 captain Wiaan Mulder will be joining the New Balance team! #TeamNB⁠⁠⁠⁠…,17,0
