id,created_at,text,no_of_retweets,no_of_favorite
903501788346806272,2017-09-01 06:16:27,That's my man! So proud as always 👏🏼👏🏼 https://t.co/mlTANcVlSH,27,173
839404690689376256,2017-03-08 09:17:28,"Very insightful talk!! Definitely worth your time, happening this Friday @femmedhealth xx https://t.co/syIHcenvEJ",10,94
776119382036586496,2016-09-14 18:04:14,"RT @ABdeVilliers17: What a day! @HannaCharity house in Clair street, please make contact &amp; help where u can +27 (83) 5713299 https://t.co/g…",533,0
772831663395135488,2016-09-05 16:20:01,@lynn_zack Thank you! Unfortunately no kiddies clothing yet but we'll work on it and ask u for details later x,2,39
772755864407142404,2016-09-05 11:18:49,@KudzaiDrums Thank you!!,2,26
772744959996862464,2016-09-05 10:35:30,"Hi guys, AB &amp; I have some clothing we would like to donate to a home in Pretoria that is in need. We would be grateful for any suggestions?",73,274
771606118170636289,2016-09-02 07:10:08,At last night's book launch for my hubby's autobiography. I am so proud of him! Xx… https://t.co/Df44J71JTa,30,155
771316547902119936,2016-09-01 11:59:30,"Look, I've been proud of my husband before (countless times), &amp; then he went &amp; wrote a book! Beyond proud today❤️ https://t.co/q6aH19eUUy",236,1283
771059240211537920,2016-08-31 18:57:03,This is how I feel when I leave @femmedhealth after my vitamin charged drip👯 https://t.co/ueuruoD7Ls,6,63
769120305675661312,2016-08-26 10:32:25,Cheeeeeers to the weekend!🍾 So in love with my mani😍 @femmedhealth @bontlelee #femmedhealth https://t.co/8zqla38Oo1,71,624
759017954121965568,2016-07-29 13:29:16,I know where I'm gonna be next Friday!! Book now to avoid disappointment! @femmedhealth https://t.co/evGnRfqg2A,13,94
752654856280825856,2016-07-12 00:04:36,@AraffaMpungwe I miss that face of yours.,1,23
751476790569435142,2016-07-08 18:03:23,"We have been away from home for 3 months today, that's a quarter of a year😱 It's tough to say the least! But we're sticking together👪",44,268
743450923050033153,2016-06-16 14:31:27,"@Roz_Kelly @SashaHurly Some nice tips here, for u know, one day when we get around to it😜 https://t.co/HyTc30Lr8C",1,25
740546697781256196,2016-06-08 14:11:06,@RozMcK @SARIETydskrif Baie dankie julle!☺️,1,21
740539808720781312,2016-06-08 13:43:43,😱😱🙈🙈❤️❤️ https://t.co/IuTA7aSY8X,20,103
739193844730843137,2016-06-04 20:35:20,Team room bonding sessions🍼🏏 #tourlife #babiesontour @ Guyana Marriott Hotel Georgetown https://t.co/5dpBvsI4oJ,26,143
736567642220167171,2016-05-28 14:39:45,This is a very special song and we loved singing it! Hope you guys enjoy🎤 @ABdeVilliers17 https://t.co/QMDqmGVKDa,220,794
735092536042127362,2016-05-24 12:58:12,Excited but freakin nervous for tonight's game all at the same time! But I have a goooood feeling. Let's do this @RCBTweets #Semifinal #RCB,216,696
733696952689262592,2016-05-20 16:32:39,Date night💋 @ABdeVilliers17 https://t.co/46U4Yk9Rwy,165,786
728892260507488257,2016-05-07 10:20:31,Excited for the game!! https://t.co/ozVvfgO6Jg,61,322
728564194174369793,2016-05-06 12:36:54,"Mom brought rusks to India!☕️ She also brought Gin, and that is one of the million reasons why we were made for each other😜 #ginoclock",29,243
726244890456133632,2016-04-30 03:00:49,In 5 days' time my mom is arriving in Bangalore!!!👯 FINALLY!!! I literally can't wait!,48,309
725243787442683904,2016-04-27 08:42:47,RT @ShaneRWatson33: Awesome fun singing with @DanielleDV27 last night. What a beautiful voice. Little AB would have been very impressed. ht…,236,0
725238192971063296,2016-04-27 08:20:34,It took some convincing to get me up on a stage again but I'm so glad I gave in! I loved every… https://t.co/aHI2SVVQ9i,33,183
717080213327319045,2016-04-04 20:03:40,Date night straight out a storybook!👫❤️💍 Best E.V.E.R. @abdevilliers17 @ Roots Restaurant https://t.co/QKjmPNH1bg,28,178
715483931932385282,2016-03-31 10:20:37,We had such a special day yesterday celebrating our wedding anniversary!💍 Thank you for all the kind messages!,51,252
706861695151513600,2016-03-07 15:18:55,Hello Cape Town✌🏼️ Please be extra laid back this week so that our last few days as a family feel longer!😁 #almosttimetosaygoodbye,22,144
701451770443202561,2016-02-21 17:01:49,I'm so blown away by #TheVoiceSA!!! Incredible talent I can't wait for the rest of the season🎤,141,697
698890842455547905,2016-02-14 15:25:36,Goosebumps all over! So incredibly proud of my husband and the team for an incredible series win! 👏🏼,105,275
697373026703273984,2016-02-10 10:54:20,This is an amazing product! Help @GaryRomHair win the #GlamourGoldHairAwards by voting here! https://t.co/NR68JK1i7k https://t.co/h3LV7yjtMl,10,62
