id,created_at,text,no_of_retweets,no_of_favorite
906207389531213824,2017-09-08 17:27:32,"@iMac_too @dna  what do you mean by ""pipe down for your own good "" . Are you threatening me",10,108
906172047859998725,2017-09-08 15:07:06,@rajsan2017 @tavleen_singh you have only a biased opinion and no information . I have spoken for KPS many times .,0,0
906170984364883969,2017-09-08 15:02:53,@rajsan2017 @tavleen_singh,0,0
906168420567097344,2017-09-08 14:52:41,@Daddy_59 that is not right . I have spoken about KPS issue many times from quite a few platforms and in different seminars,20,153
906035248353337346,2017-09-08 06:03:31,@tavleen_singh @IamDeepaMehta ...and how many of those So called CIA agent were shot dead by the evil liberals ? . Come on Tavleen .Be fair,27,149
905684271263752192,2017-09-07 06:48:51,@c0_ff33 since you are not selective I am sure you must have condemned This genocide and of course Gauri's murder . Right ???,13,81
905679111430914048,2017-09-07 06:28:21,Is it not bizarre and diabolic that Aung San suu kyi who is calmly watching a horrifying genocide n denying it is a Nobel PEACE prize winner,1612,4274
905665857090551808,2017-09-07 05:35:41,@MadhuraJoshi20 @ansh_85 those who fight for Khalifas can never my ancestors. Mine are buried in Andaman AKA Kala Pani . Go n ask anyone .,12,147
905658967661068290,2017-09-07 05:08:18,RT @Nidhi: I don't know who killed Gauri Lankesh. But I do see who is celebrating her death and vilifying her.,6028,0
905285879194947585,2017-09-06 04:25:47,@AsYouNotWish of course they are all Muslim terrorists n both of us  condemn them We  should also condemn the serial murders of the liberals,47,378
905282663258390528,2017-09-06 04:13:00,@ansh_85 when your ancestors were licking British boots by doing some petty job for them mine were fighting for freedom . Got it you creep.,248,1121
905280028593750017,2017-09-06 04:02:32,@ahmad2208 @LambaAlka Mohd Ahmed saheb I don't need to learn Insaniyat from those who justify triple talaq and glorify Taliban and ISIS,135,871
905278738383949830,2017-09-06 03:57:25,@NeenaSinha @Indulekha_A Kashmiri Pandit's killers were Muslim fandos I condemn them Now show me the guts name n shame the killers of Gauri,96,625
905272510790475776,2017-09-06 03:32:40,@iam_manishk @Seek_Err According to different news channels in last ten years 48. RSS n 52 Cpm workers are killed. In Kerala. I condemn it,58,386
905128670288723970,2017-09-05 18:01:06,@InderAgrawal @sagarikaghose I am speaking against triple talaq since last 20 years  . You should check the facts before making an opinion,0,11
905110045066534912,2017-09-05 16:47:05,"Dhabolkar , Pansare, Kalburgi , and now Gauri Lankesh . If one kind of people are getting killed which kind of people are the killers .",7916,17372
902221329734045697,2017-08-28 17:28:22,@AnasKha85935272  I am shocked by your claim that your society is based on triple talaq . Is it retarded thinking or bad English ?,2,34
902208531805249536,2017-08-28 16:37:30,@Ashish_Johri_ I am only talking of the mad fringes not of the communities . Of course an average Indian has welcome both the verdicts .,19,191
902206962774884353,2017-08-28 16:31:16,@vj_2100  haven't you heard Sakshi Maharaj and some others like him . Watch some channels .,18,175
902204520209334272,2017-08-28 16:21:34,Muslim fundos are defending triple Talaq  n Hindu fundos  defending a rapist baba . What a shame . Both of them are equally repulsive .,2359,8366
901165194797170689,2017-08-25 19:31:39,@PradeepGoyalCA @SonaChele1 I have deep respect and love for my country . I have no respect for. People like you . Got it !!,0,6
901156247272996865,2017-08-25 18:56:06,"@heyshashi @girirajsinghbjp you idiot ,since last 20 years i n some like minded friends are fighting against every regressive law like TT.",0,4
901152844597743617,2017-08-25 18:42:35,@kamalmishra47 @ZeeNewsHindi this is my mother land and I love her that is why I want to save her from bigots like you . So get lost .,0,6
901148349641785344,2017-08-25 18:24:43,@iamReeshabh @Sanjay_Dixit @TarekFatah it is a total lie . I had not made any such appeal . I challenge you to prove your allegation right.,24,104
901147149064314880,2017-08-25 18:19:57,@sanjay_rai @Sanjay_Dixit @hasanmanzil @TarekFatah Tarik saheb Sanjay thinks I am pseudo secularist n you have slapped me hard .Your comment,0,1
901144521097961472,2017-08-25 18:09:30,@officialdrajay @Sanjay_Dixit @TarekFatah it is a total lie that I have ever appealed on behalf of any terrorist .i call a spade a spade,0,20
900948813443080206,2017-08-25 05:11:50,@AuthorSubhasis @SonaChele1 what is your definition of patriotism ? Is it not pointing out any thing that is against our national interest,0,9
900948813417922560,2017-08-25 05:11:50,@Sanjay_Dixit @TarekFatah   If  your image of a patriot is Prohit or Prigya then you seriously need psychotherapy.,47,260
897315968594042881,2017-08-15 04:36:12,@prasannavishy  it never stops surprising me how petty biased narrow minded  crude n indecent some people can be . Shame on you,37,223
897297179957575681,2017-08-15 03:21:33,Happy Independence Day to all the https://t.co/vhHf5PWXrU lets endeavour to get freedom from hunger poverty illiteracy violence n injustice,164,1121
896806079060824064,2017-08-13 18:50:05,@SonaChele1 Hamid Ansari is true patriot who is concerned about some undesirable developments in our society .,108,370
896772539954757633,2017-08-13 16:36:49,@malojinaik off course appeasement is not secularism but neither is lynching n defending and admiring those who commit such heinous crimes,29,189
896744077613387780,2017-08-13 14:43:43,for so years you were  unhappy with the secularism and secular constitution of our country . Why didn't you migrate to any other country,1167,3440
895367925221150720,2017-08-09 19:35:23,https://t.co/nHwvdQJDDH,92,1408
888615759194333185,2017-07-22 04:24:41,Harman Jeet Kay tum nay / har Mann Jeet liya hai,180,2082
885458521873166337,2017-07-13 11:18:57,@Rockkk_Onnn @singer_shaan  I believe these fanatics are not only the enemy of our nation but the worst enemy of their own community too .,3,29
885457049445912576,2017-07-13 11:13:06,@Mayank_UAEU @ndtv yes I am a non believer but can empathise with those whose motivation is not hate and bias but humility and reverence .,3,16
885447954269712384,2017-07-13 10:36:57,@Bunga_Bunga_69 he was a Muslim killed by muslim fanatics Does it answer your  question I feel sad for people like you . You are so petty .,1,7
885446603942842368,2017-07-13 10:31:35,@mankuli @balettan I stand corrected . It was a typo mistake .,1,12
885195052854784007,2017-07-12 17:52:01,@gaurangagg they are not my brothers but the brothers of those who believe killing innocents in the name of their faith is a holy act,6,29
885194046783860738,2017-07-12 17:48:01,"@balettan my friend there is a thing called turn of phrase . When I say "" who are these sub human ..."" It is not ignorance but contempt .",0,3
885191513185169412,2017-07-12 17:37:57,@balettan off course all of us know that some fanatic jihadis have committed this heinous crime n I chose these words to condemn them .,9,51
885189977214251009,2017-07-12 17:31:51,@Padiram I am not a man of faith . I believe in resin and rationality .,7,65
885171164510912514,2017-07-12 16:17:05,@sandy17172 you seem to be no better than them . So just shut up and get lost .,11,80
885146297099059204,2017-07-12 14:38:17,Who are these obnoxious and sub human terrorists who have fallen so low as to kill those who had brought nothing but reverence n faith,558,3173
883947272190525441,2017-07-09 07:13:47,In Leeds at the Corn Exchange https://t.co/ZP1r0S1qMX,79,2121
882889292892262400,2017-07-06 09:09:45,@tweettopavan  Martina is undoubtly a great player so are  King and Grag but none of them have a  better track record than Serena .,0,5
882889292711907329,2017-07-06 09:09:45,@vaskarb these are not awards but winnings . Carl Lewis or usain Bolt are great sportsmen because they have won more races  than others .,0,1
882606244351152128,2017-07-05 14:25:01,"@debadarshi_ is McEnroe greater than Rod lever , Borg Sampras or Fredrer . No !! . Now name one female who is greater player than Serena",21,311
882458197168205824,2017-07-05 04:36:44,"John, Serena is  greater n richer than you ever could be. Must be frustrating . Tough luck buddy !! but you will have to live with it .",34,360
882444000174714880,2017-07-05 03:40:19,India's women cricket was waiting for a star player like Smriti Mandhana  . She has arrived !!.,165,1466
881781608860221441,2017-07-03 07:48:12,@VIKAS_24 how dare Saudi Arabia ask Qatar to shut down a TV channel Aljazira . Writers n journalists of the world stand up n be counted !!!,3,5
878495286284476416,2017-06-24 06:09:32,@VIKAS_24 That officer's name was Ayub but what matters is that he was a police officer who was lynched by a Muslim mob in Kashmir,32,157
878471310996889601,2017-06-24 04:34:16,"Man you have some sense of humour Since last 100 years along with Islamists,it is the west responsible for this mess called the Middle East",81,421
878465492633223168,2017-06-24 04:11:09,Lynching of an officer in Kashmir n four innocent Muslims in Haryana. Brothers n sisters We all need to think calmly where are we going .,3050,6579
878460875803418624,2017-06-24 03:52:48,Turkey has removed Darwin's theory from the school books It is like spitting on the grave of Ataturk the great secular rationalist leader .,255,781
878452827001159680,2017-06-24 03:20:49,Saudis forcing Qatar to shut down Al Jazeera known for  its frank n fearless journalism shame that west is not condemning this unfair demand,348,1154
870836232238092288,2017-06-03 02:55:11,Michelle Obama should  lead the fast increasing protest against Trump's withdrawal from Paris accord She should be the face of this protest.,132,1159
870499300060549122,2017-06-02 04:36:20,@Indian_Launda this information is from national census 2011.,0,1
869001591898165248,2017-05-29 01:24:59,All unreasonable and unfair stances are protected only by rage n aggression . Injustice can't afford dissection .,61,393
868363515886751746,2017-05-27 07:09:30,@ashwani_sehgal1 you are drawing a wrong conclusion of the report . It quantifies the percentage of divorce in different communities .,7,78
868348263879118849,2017-05-27 06:08:53,@ashwani_sehgal1  you are drawing a wrong conclusion . The report,5,56
868345171653644288,2017-05-27 05:56:36,I was a bit surprised to learn that according to national census the divorce rate in Muslims is 0.53 while in Hindus it 0.76 .,1093,3325
867953562726346753,2017-05-26 04:00:29,I am  shocked by a news item in today' Mumbai mirror my alleged statement is fake  n far from the facts . I have not made any such statement,116,604
866886923339653122,2017-05-23 05:22:03,@MANISHMOHANMISH @nehasinghjazz @iauqibsalam @PMOIndia  you are wrong . There personal laws for Hindus too . They are called Hindu code bill,0,7
866886205727805440,2017-05-23 05:19:12,@iamrakesh6 @nehasinghjazz @iauqibsalam .Jan Sangh and Hindu Maha sabha had fought tooth n nail against giving property rights to daughters.,1,10
866880216198721536,2017-05-23 04:55:24,@siddharthy88 @Sushant_Kaushal     similarly when I comment  against the Hindutva fanatics I am accused of being a Muslim reactionary .,30,224
866872825604448257,2017-05-23 04:26:01,AIMPLB can not be trusted . They are just trying to get off the hook .3 divorce should be legally banned n declared  a cognizable offence .,2661,6126
865525348754051072,2017-05-19 11:11:38,@nehasinghjazz @iauqibsalam you must know like all other personal laws Hindu code bill is also very regressive .It too needs. Major reforms,5,21
865524040672227329,2017-05-19 11:06:26,@vyas_falgun @ProfKhandal it's a pity you have more opinions than information I am speaking  against these practices for so many years,1,6
865522060876853249,2017-05-19 10:58:34,@Anandemptybrain  how many times I Have to  tell me Empty brain that I have not signed any such petition .,2,13
865442868055420928,2017-05-19 05:43:53,"As a member of human society  , how I wish to see Michelle Obama as the next president of USA.",146,1353
865398878694129664,2017-05-19 02:49:05,AIMPB's claim that qazis  will take bride's view on 3 talaq is a charade . They jolly well know that brides won't dare to give their views.,1169,2661
864139037271109632,2017-05-15 15:22:56,"My ten year old Grand daughter Akira has written a wonderful song n has sung it beautifully, recorded it too . Want to see a proud grand PA",47,861
862021866130735105,2017-05-09 19:10:03,My salute to Harish Salve . You are our one man demolition squad of lies .,112,708
861620261333991425,2017-05-08 16:34:13,"@vinaygoel15  Iraq , Libya , were dictatorships but culturally moderate societies unlike some other states of the region protected by US .",3,12
861619286510637057,2017-05-08 16:30:20,@vinaygoel15 the only way any society can have moderation is to keep religion as far from the state affairs as possible .,6,29
861617917640810496,2017-05-08 16:24:54,@srivatsanks1 and you don't mind being judgemental about me ? Why would you After all it is your birth right .,1,9
861616628546588672,2017-05-08 16:19:46,@tellychakkar are you dumb or vicious . What I called unacceptable n outrageous is the mutilation of the bodies of our soldiers .,2,17
861445465665097728,2017-05-08 04:59:38,The trip to Australia for an award function is unanimously canceled by the  film industry .What has happened is unacceptable n outrageous .,24,243
861444125157150721,2017-05-08 04:54:18,Macron'a victory in the French presidential election is  a good news for the whole world . It means moderation n inclusion is still valued .,163,947
859735612823396353,2017-05-03 11:45:17,@Sir_SunDeep my poetry is translated in French which is  to Morocco what English is to us . Translations were read along with the original,3,8
859275060078673920,2017-05-02 05:15:13,Attended poets international conference in Morocco's 2 cities Rabat n Tetuon. I am really humbled by the overwhelming response to my poetry,59,915
856911798905298945,2017-04-25 16:44:28,It is not enough to salute or paying tribute to the martyrs of Sukma .govt must secure and take care of the family of every Shaheed .,464,2049
856910896777580544,2017-04-25 16:40:53,It is not enough to salute or paying tribute to the martyrs of Sukma The govt must e the families of every Shaheed .,83,461
