id,created_at,text,no_of_retweets,no_of_favorite
905931432828260353,2017-09-07 23:10:59,"As we come together as one American family to help our neighbors, we are reminded how much we need each other. https://t.co/OMpsKlNAr2",6217,27036
905931366575071232,2017-09-07 23:10:43,The outpouring of support for Houston &amp; communities along the Gulf Coast represents the best of who we are &amp; what t… https://t.co/gbDL0H73Wv,18006,74237
893482315787247616,2017-08-04 14:42:38,"Another year older, but the same phenomenal guy I married nearly 25 years ago. Happy birthday, @BarackObama -- we l… https://t.co/R12lLDiX1t",139157,585660
891467509555134464,2017-07-30 01:16:31,Happy Birthday Mom! Your unconditional love has made me who I am today. You are my rock. My ❤️.  I'll always be you… https://t.co/uN76eZSJkL,29774,302825
891325973987282944,2017-07-29 15:54:06,RT @BetterMakeRoom: Mrs.Obama wants to see every student succeed &amp; go off to college. Here's her advice to first-gen DC college-bound stude…,2924,0
890684188713779200,2017-07-27 21:23:53,.@RealMikeWilbon &amp; I are so proud of all the students who are beating the odds &amp; going to college. The world… https://t.co/ZOxnMyC32V,1878,16396
890581127588708353,2017-07-27 14:34:21,RT @BetterMakeRoom: Stay focused. Stay determined. Work hard. You can accomplish anything with a higher education. #BetterMakeRoom https://…,1461,0
890571779437154306,2017-07-27 13:57:12,So excited to join you @RealMikeWilbon &amp; meet these inspiring DC students who are on their way to college this fall… https://t.co/ggQfv30XXA,1255,9681
889568370642874368,2017-07-24 19:30:01,Couldn’t be more excited for these phenomenal women I met at #CollegeSigningDay. Keep up the great work and congrat… https://t.co/AMcnjHc5Jd,3507,28516
885346371661742081,2017-07-13 03:53:18,It was an honor to stand with these incredible @SpecialOlympics athletes and celebrate Eunice Kennedy Shriver's leg… https://t.co/vaeAyt54ck,4101,33078
885346218372612096,2017-07-13 03:52:42,"Eunice Kennedy Shriver knew that when we give others a chance to fulfill their greatest potential, we all win.",9007,53157
885242585572286465,2017-07-12 21:00:54,"Happy Birthday, @Malala! Your courage inspires us all to keep fighting for girls everywhere to get the education th… https://t.co/lVnhjrI1kc",38199,167683
876454925131288580,2017-06-18 15:01:52,"Happy #FathersDay @BarackObama. Our daughters may be older and taller now, but they’ll always be your little girls.… https://t.co/mUooumGRfb",80026,488767
873208129739255808,2017-06-09 16:00:16,"Congrats to @CNNFilms’ We Will Rise, honored at the @TelevisionAcad Honors. Thank you for spotlighting girls' ed.… https://t.co/OSnxqCAMhm",2424,16900
863826431675158528,2017-05-14 18:40:45,Happy #MothersDay to my mom. I strive to be the kind of mother to my girls that you have always been to me. https://t.co/ZXIjHAm7jC,14783,112630
863067172544950273,2017-05-12 16:23:43,Glad to be back at the #PHASummit. No one should play politics with our kids’ health. We owe them. Let’s make our v… https://t.co/m2tbIlVr0k,7568,33782
860591800523902976,2017-05-05 20:27:28,Thank you @NickCannon &amp; many others who supported #CollegeSigningDay. I am proud of every student aiming to… https://t.co/2S7XLmiaVc,2093,15543
860590575199944704,2017-05-05 20:22:36,RT @kerrywashington: Join me in celebrating #collegesigningday with @MichelleObama and thousands of students across the country. #Bette… ht…,1156,0
860531705828036608,2017-05-05 16:28:41,RT @angiemartinez: honored to join @MichelleObama @MTV tomorrow to celebrate #collegesigningday in NYC. the future is bright! #bettermakero…,220,0
