id,created_at,text,no_of_retweets,no_of_favorite
903763201745027073,2017-09-01 23:35:13,@wslasecki Congratulations!!!,0,0
901364234612645888,2017-08-26 08:42:34,"@AsMirry @conorlinehan @sig_chi My deadline is September 12 (for abstracts and other details), you are probably taking September 19 :)",0,1
901314001983782912,2017-08-26 05:22:58,Full papers @sig_chi 17 days to go ... Bull's eye!!!,1,3
900308761373429760,2017-08-23 10:48:30,@hciprof You are really rocking!!!,0,0
899492516709318657,2017-08-21 04:45:02,Thanks to all the respondents. We are now closing the survey!!!,0,0
898827943857733632,2017-08-19 08:44:15,"Wow, 500+ responses!!!",0,0
898827714139897858,2017-08-19 08:43:21,"@mattlease I appreciate your statement ""... then in real time reach out to the crowd to close the loop"".",0,1
895872554841235456,2017-08-11 05:00:36,@jeffbigham @sigchi Congratulations!!!,0,0
895459806336569344,2017-08-10 01:40:29,Can you please help us by sharing the survey and providing your own feedback: https://t.co/lYX9dAkHpe,1,2
894785919323996160,2017-08-08 05:02:42,@mattlease @byron_c_wallace @ani_nenkova Its cool!!!,0,0
893996356074741760,2017-08-06 00:45:15,@chinmay @united I had the same experience while returning from CHI 2017 (at Denver). Their vile behavior is simply unacceptable.,0,0
892310944314818560,2017-08-01 09:08:02,A great blog article on interactive microtask and workflow design (https://t.co/MDKVCdrpu9),0,1
892310707726761984,2017-08-01 09:07:05,A great blog article on voice-based crowdsourcing for speech transcription (https://t.co/cdV38Tr2vQ),0,1
892310498909200384,2017-08-01 09:06:15,A great blog article on context-aware crowdsourcing (https://t.co/knnw2syum2),0,2
889306397661216768,2017-07-24 02:09:02,Another media coverage on our work related to conserved phylogeny in human blood microbiome (https://t.co/vPmnCRfzBi),1,2
889168950151479296,2017-07-23 17:02:52,"Thanks to the UG student Chandrima Bhattacharya of IIEST, Shibpur for her wonderful presentation at Prague, Czech R… https://t.co/Zpmd5wYozA",0,3
889167329497563136,2017-07-23 16:56:25,We are the Third Prize Winner for our work on microbiomes in the 16th Annual International CAMDA Conference (https://t.co/oFOhE4SbYq).,0,0
888569451062247424,2017-07-22 01:20:40,A media coverage on our latest research regarding blood microbiome: https://t.co/Hiz5ianhf9,0,0
886592747963994113,2017-07-16 14:25:57,I just figured out that I have covered only 12% of the US states in my 5 visits. https://t.co/12QNbo0NJ1,0,1
886042084053983234,2017-07-15 01:57:49,Content in social media is slowly coming under the surveillance for various serious purposes (see: https://t.co/AV35sKWBH5).,0,1
885811546315644928,2017-07-14 10:41:44,Research has become all about the deadlines in CS https://t.co/HUknfgoq8j,0,1
885807773379739648,2017-07-14 10:26:45,An apparently enthusiastic group meeting for the purpose of (only) taking a group photo!!! https://t.co/IbOyNWtA5P,1,4
885717535202484224,2017-07-14 04:28:10,@EvanMPeck This one also https://t.co/elEVmqmDgR,0,0
885717213436461056,2017-07-14 04:26:54,@EvanMPeck See this one too https://t.co/tXnvae24EX,0,0
885715661254664193,2017-07-14 04:20:44,@EvanMPeck This might be useful https://t.co/4hsI7VPz7c,0,0
878658080837218304,2017-06-24 16:56:25,I feel proud to serve this alluring institute as a faculty: https://t.co/7Dw7jj9L5W,0,1
877786283602345985,2017-06-22 07:12:13,https://t.co/WAMH0YBAvp,0,0
876655069537517569,2017-06-19 04:17:10,@chinmay @jeffbigham Book a flight and read it on board :),0,0
875292707186397184,2017-06-15 10:03:38,"Classic papers (as evaluated by Google Scholar) of 2006:

https://t.co/nXiC72EKYn",0,0
872000806785957888,2017-06-06 08:02:47,@jilleduffy I did the same mistake when I read the word for the first time,0,1
871684385577283584,2017-06-05 11:05:27,A great blog article on the demography behind trending topics in Twitter (https://t.co/eLWMQFgi78),0,0
869207146705035264,2017-05-29 15:01:47,Our preliminary analysis on the diversity of microbiome selected for the final round of @CAMDA_conf challenge.,0,0
867604351526850563,2017-05-25 04:52:51,Our IEEE 33rd ICDE 2017 paper is now online: https://t.co/kZ30YbsNt8,0,0
867603755964940288,2017-05-25 04:50:29,Gearing up for CHI 2018. Less than 4 months left for the submissions of full papers and notes!!! https://t.co/VGI2HcXsos,0,0
866889149336363009,2017-05-23 05:30:53,A great blog article on smartphone notification management system (https://t.co/VYcFGDfPmF),0,0
866514594876997632,2017-05-22 04:42:33,Interested in Deep Learning? See this: https://t.co/qO5pOv8ayz,0,0
863749593552625664,2017-05-14 13:35:25,#unitedAIRLINES catering problem is delaying UA 2767 for the last two hours. Is the food coming from Mumbai?,1,0
863746655522344964,2017-05-14 13:23:44,#unitedAIRLINES EWR to BOM Technical + Catering problem = 13 hrs delay as of now (OMG). How long 🚵,1,1
863736795506331648,2017-05-14 12:44:34,@jilleduffy Layover + Technical problems in the flight!!!,0,0
863709895509651456,2017-05-14 10:57:40,Stuck into the Newark International Airport for the last 32 hours while returning to India from #chi2017.,0,1
863006711174623232,2017-05-12 12:23:28,Its rare to spot you alone (almost) at #chi2017 with close to 3000 attendees!!! Only in a session room at the lunch… https://t.co/L0eofQtlrj,0,0
862782555312934913,2017-05-11 21:32:45,Infrared + Myself = European Me (Courtesy: SmartEye at #chi2017) https://t.co/6ofJetHwfZ,0,0
862653441520390144,2017-05-11 12:59:42,".@sig_chi ""Flash Organizations: Crowdsourcing Complex Work by Structuring Crowds As Organizations"" by Valentine et al.",0,0
862651906065301504,2017-05-11 12:53:36,Let us vote together for the people's choice award of #chi2017 (@sig_chi). Show the power of human agents!!!,0,1
862620645020114944,2017-05-11 10:49:23,The paper I enjoyed most at #chi2017: https://t.co/rzLxnzi1s0,0,1
862614557981908992,2017-05-11 10:25:11,Thanks to #chi2017 again!!! Had a great experience listening to the talk of my old friend @msbernst live (and in-pe… https://t.co/fsq9MauKch,0,1
862614198605553664,2017-05-11 10:23:46,"An old friend from @hcomp_conf, Danna Gurari of #UTAustin, speaking on an award-winning paper at #chi2017. https://t.co/lRyvdqxBci",0,1
862609481615773696,2017-05-11 10:05:01,A cool keynote talk by @Ghonim at #chi2017 on Mobocracy! Got to see the very first look of #Facebook from 2004. https://t.co/7EDYakYH7F,0,0
862607257468641280,2017-05-11 09:56:11,@jeffbigham @neilernst As always!!!,0,0
862147775097602052,2017-05-10 03:30:22,Thanks to the great platform of #chi2017!!! Got to see an old friend (@hciprof) after 6 years.,0,0
861951158008639488,2017-05-09 14:29:05,"Had a great course on ""Crowdsourcing and Crowd Work"" by @jeffbigham, @wslasecki and @chinmay at #chi2017. https://t.co/jrXDafcQdK",2,6
861560837957398528,2017-05-08 12:38:05,A great gathering in #hcixb17@CHI 2017! https://t.co/RBpbvy1w1i,0,3
859844329413775361,2017-05-03 18:57:17,This is what we are going to present at CHI 2017 in the next week at Denver: https://t.co/92DoqrUeqW,0,0
852014666184138753,2017-04-12 04:25:00,@jilleduffy This statement is valid for all the countries!!!,0,0
847513773325680640,2017-03-30 18:20:04,"Going to present multiple papers in two workshops (""Designing for Curiosity"" and ""HCI Across Borders"") and in the main track of CHI 2017.",0,1
844908639705976832,2017-03-23 13:48:12,@jilleduffy The countdown begins!!!,0,0
830778215530536960,2017-02-12 13:58:56,Disease dietomics rocks again! See more at: https://t.co/slva0pTJE7,0,0
830777717461184515,2017-02-12 13:56:57,"Finally, got a paper accepted in the LBW track @sig_chi for the first time.",0,3
816914942091612160,2017-01-05 07:51:14,Working hard to submit some interesting studies to the Extended Abstract tracks of CHI 2017.,0,1
816914083555356672,2017-01-05 07:47:49,"@hcomp_conf Welcome to AAAI HCOMP 2017 (https://t.co/VI5DiiBweT) in Québec City, Canada. Get the good papers ready for us.",0,0
810125759360696321,2016-12-17 14:13:27,@hciprof Indeed colorful!!!,0,0
