id,created_at,text,no_of_retweets,no_of_favorite
888000636729647104,2017-07-20 11:40:24,1st store of SEVEN opens at my hometown RANCHI. So much love and affection from the people had… https://t.co/nCtBKDIn3F,3423,22383
834223245255700481,2017-02-22 02:08:15,Just posted a photo https://t.co/OM3iPrGaWV,2140,19943
832466800310833154,2017-02-17 05:48:46,Just posted a video https://t.co/iGYP7BUbTW,1883,16181
831528488423219202,2017-02-14 15:40:15,Just posted a video https://t.co/u3Stx7rjDi,2184,16153
824525826490146816,2017-01-26 07:54:10,I really missed this a lot on this year's Republic day parade but the shoes were duly filled by the NSG Commandos. https://t.co/P6QzTeOX8L,5659,34284
824520023293231105,2017-01-26 07:31:07,https://t.co/GUR6Fe94SO                                       No words can do https://t.co/hFTQjqP7wz this tribute to an outstanding soldier,3485,15639
807123802870190080,2016-12-09 07:24:44,Just posted a photo https://t.co/7X7kvw9Plf,1812,12387
781424396942450689,2016-09-29 09:24:29,RT @adgpi: Statement by DGMO #IndianArmy on 29 Sep 16 https://t.co/ckYOApWcHQ,9319,0
780278657315024896,2016-09-26 05:31:43,Just posted a photo https://t.co/pT7U2TyAO5,1420,11159
766108791607820289,2016-08-18 03:05:44,Great comeback by Sakshi Malik 2 win our 1st medal in Rio.determination and self belief r the key for a performance like this.congratulation,7281,34889
765213419477663744,2016-08-15 15:47:50,RT @NorthernComd_IA: #JKOps Update Uri Ops. Total five terrorists killed. Two soldiers injured; evacuated and stable. Op continues. @adgpi,761,0
763760470465601536,2016-08-11 15:34:20,"As I walked the path, the journey became my life. Here's a glimpse of it. https://t.co/tNaMmQosSa",9309,25818
755021134987456516,2016-07-18 12:47:20,Team SPORTSFIT Lucknow.Nice to visit our first franchise.an hr of gym and fun with the members and management https://t.co/zLrJEs9QG0,1973,12985
754905307843796992,2016-07-18 05:07:05,Long travel day ahead https://t.co/B2iVnNpqNu,2069,13052
754374005755437056,2016-07-16 17:55:53,"Saw a full mch of boxing after yrs.thks @boxervijender for mkg INDIA proud,it's just the start ur hrd wrk,dedication and sacrifice paid off",4052,17407
751121522002198528,2016-07-07 18:31:40,"What could be the best way to celebrate my birthday,planted the 1st and very spl tree at the farm house KAILASHPATI https://t.co/QQ3DpDCCk1",3780,16521
751120259227189249,2016-07-07 18:26:39,"Thanks to all for ur lovely birthday wishes,it really means a lot.with god's blessing I could celebrate my birthday along with EID.",4055,18480
748767533679816704,2016-07-01 06:37:46,Cngrts to IAF on their latest warbirds and every1 who were part of the project indeed a very proud moment for INDIA https://t.co/de6YANPzqE,3051,13027
745892660506988544,2016-06-23 08:14:02,Just got served this during breakfast.thanks guys https://t.co/itK7Eewo0j,2499,13008
743520736518737920,2016-06-16 19:08:52,"RT @IndiainZimbabwe: @M.S Dhoni with his team at reception at India House,Harare. About 200 community members attended the reception https:…",1291,0
719099417869979648,2016-04-10 09:47:16,"Proud to be associated with Lava,a truly reliable Indian brand.Pic clicked on my Lava phone. @lavamobile #MSD4Lava https://t.co/1fJC7Znt6k",2525,14408
